Restaurant Name,Cuisine Type,Location,Best Indian Food Item,Link
Crossroads,Fast Food,Near PWD Circle,Garlic Bread,https://goo.gl/maps/BDKk8oxNM6AwJ4YU7
Delhi Momos Centre,Fast Food,Paota,Momos,https://goo.gl/maps/BDKk8oxNM6AwJ4YU7
Domino's Pizza,Fast Food,Sardarpura/Main Mandore Road,Pizza,https://goo.gl/maps/BDKk8oxNM6AwJ4YU7
DOSART,South Indian ,Sardarpura,Dosa,https://goo.gl/maps/BDKk8oxNM6AwJ4YU7
Famous Chicken Biryani,Indian,Sangariya,Biryani,https://goo.gl/maps/srtEUmJq6vGvwUnX9
Fredy Foods :Fast Food Restaurant,Fast Food,Choupasani Road,French Fries,https://goo.gl/maps/voiEv4v3PjDs7Fx7A
Fruit & Fries,Fast Food,Sardarpura,French Fries,https://goo.gl/maps/oqipfShK62c6h7my6
Fun N Food ,Fast Food,sardarpura,Manchurian,https://goo.gl/maps/3pHjTxMmGiy3HZdS8
Gopal Roof Top Restaurant,Indian,near Mehrangarh Fort, Paneer,https://goo.gl/maps/XPwNN7656UHYGHxS7
Grill and Chill Fast food restaurant,Fast Food,Madhuban Main Rd,HotDog,https://goo.gl/maps/8aHbfbQR8KMQpPqd9
Gypsy Vegetarian Restaurant,Indian,Sardarpura,Chole Bhature,https://goo.gl/maps/ZxCgaKgJaMogNQ1Y6
Gypsy Vegetarian Restaurant,Indian,sardarpura, Paneer,https://goo.gl/maps/rXEzGQNLLbADzje1A
Gypsy Vegetarian Restaurant,Fast Food,Saradarpura,Panner Tikka,https://goo.gl/maps/f4K1HtFKf6yvnRKf7
Gypsy Vegetarian Restaurant,South Indian ,Sardarpura,Idli Sambhar,https://goo.gl/maps/8HhUpprHYuMAiMQY8
Gypsy Vegetarian Restaurant,South Indian ,Sardarpura,Medu Vada,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,South Indian ,Sardarpura,uttpam,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,Fast Food,Sardarpura,Pav Bhaji,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,Fast Food,Sardarpura,Manchurian,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,Fast Food,Sardarpura,Pasta,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,Fast Food,Sardarpura,Garlic Bread,https://goo.gl/maps/kpm9dcF5bEEidNz38
Gypsy Vegetarian Restaurant,Drinks/ Dessert,Sardarpura,Lassi,https://goo.gl/maps/kpm9dcF5bEEidNz38
Happiness Thick Shake,Drinks/ Dessert,"near Medical College, Jaljog Circle",Shake,https://goo.gl/maps/kpm9dcF5bEEidNz38
Hari Vedas,Indian,Sardarpura,Paneer,https://goo.gl/maps/kpm9dcF5bEEidNz38
Hari Vedas,Fast Food,sardarpura,Panner Tikka,https://goo.gl/maps/kpm9dcF5bEEidNz38
Hari Vedas,South Indian ,Sardarpura,Medu Vada,https://goo.gl/maps/kpm9dcF5bEEidNz38
Hari Vedas,Fast Food,"Above Manyavar ,Sardarpura",Pav Bhaji,https://goo.gl/maps/mdPMFc5LkGrGce7j7
Hari-Mauryan Jodhpur,South Indian ,Sardarpura,Medu Vada,https://goo.gl/maps/m6zpXBNjKXES7SvB6
Hari-Mauryan Jodhpur,Fast Food,Sardarpura,Manchurian,https://goo.gl/maps/m6zpXBNjKXES7SvB6
HFC Restaurant,Indian,Near Nagar Nigam Garage,Chicken,https://goo.gl/maps/m6zpXBNjKXES7SvB6
Hot Wheels veggie Fusion ,Fast Food,Sardarpura,Rolls,https://goo.gl/maps/m6zpXBNjKXES7SvB6
Hot Wheels veggie Fusion ,Fast Food,"11th B Road ,Sardarpura",Garlic Bread,https://goo.gl/maps/1aVvKLytUoVNDhFR9
Jai Maa Bhawani Da baati Churma,Indian,Pal Road,Dal Baati,https://goo.gl/maps/1aVvKLytUoVNDhFR9
Janta Sweets Home,Indian,Nai Sarak,Chole Bhature,https://goo.gl/maps/tAWdoT2pg7DCUYKq9
Janta Sweets Home,Indian,Nai Sarak,Kachori,https://goo.gl/maps/nKb9fJyKspmHqaGv8
Janta Sweets Home,Indian,Nai Sarak,Samosa,https://goo.gl/maps/nKb9fJyKspmHqaGv8
Janta Sweets Home,Indian,Nai Sarak,Mirchi Bada,https://goo.gl/maps/McjpWY2EoKpCZbRC8
Janta Sweets Home,Drinks/ Dessert,Nai Sarak,Lassi,https://goo.gl/maps/Eq9PqCwTgH2Tr6XD9
Jodhpuri Darbar,Indian,Shastri Nagar,Biryani,https://goo.gl/maps/Eq9PqCwTgH2Tr6XD9
Just Roll Eat,Fast Food,MadhuBan  ,Rolls,https://goo.gl/maps/Eq9PqCwTgH2Tr6XD9
kalinga Restaurant,Fast Food,Near Station Road,Panner Tikka,https://goo.gl/maps/Eq9PqCwTgH2Tr6XD9
Kalpvriksha Restaurant,Fast Food,Near Suncity Hospital,Paneer Tikka,https://goo.gl/maps/Eq9PqCwTgH2Tr6XD9
Kalpvriksha Restaurant,Fast Food,Near Suncity Hospital,uttpam,https://goo.gl/maps/wnUpcs41mETM2xS38
KFC,Indian,Sardarpura,Chicken,https://goo.gl/maps/5SZdW6aZTPX4JAaU6
La Pino'z Pizza,Fast Food,Sardarpura,Pizza,https://goo.gl/maps/H5RDkMqo2ezxe1HDA
Mahadev Dal Bati Jodhpur,Indian,DPS circle,Dal Baati,https://goo.gl/maps/aDcSFY2RTWkDVziA8
McDonald's,Fast Food,"High court Rd ,Lohani Circle",Burger,https://goo.gl/maps/aDcSFY2RTWkDVziA8
Momo Magic Cafe,Fast Food,Mahila Bagh Jila Hospital Rd,Momos,https://goo.gl/maps/fZPJTZxRwcsHnbM48
Mosek Etri,Fast Food,Basni II Phase,Burger,https://goo.gl/maps/eaFfXkG7cTyZcuPw8
Mosek Etri,Fast Food,Basni II Phase,Noodles,https://goo.gl/maps/JEXNT7o34CSZZire8
Mosek Etri,Fast Food,Basni II Phase,Manchurian,https://goo.gl/maps/CkT17qy9oYLvr1DJ8
Mosek Etri,Fast Food,Basni II Phase,Pasta,https://goo.gl/maps/EbsGAvNsMtXQ4L6S7
Mughal Khansama Restaurant,Indian,Stadium Road,Biryani,https://goo.gl/maps/T9yRNd4sFnYGncMc9
Naivaidhyam Food Point,South Indian ,Jaljog Circle,Medu Vada,https://goo.gl/maps/T9yRNd4sFnYGncMc9
Naivaidhyam Food Point,Fast Food,Shastri Nagar,Sandwich,https://goo.gl/maps/T9yRNd4sFnYGncMc9
